property_type,sector,price,area,bedRoom,bathroom,balcony,floor,agePossession,furnish,features,study room,servant room,store room,pooja room,others
flats,sohna road,0.7,1153.0,3.0,3.0,3.0,Low Floor,relative new,unfurnished,high,0.0,0.0,0.0,1.0,0.0
flats,sector 85,1.05,990.0,2.0,2.0,1.0,High Floor,under construction,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 109,6.0,2430.0,4.0,4.0,3.0,Low Floor,relative new,unfurnished,high,1.0,1.0,1.0,1.0,0.0
flats,sector 83,1.72,1900.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
houses,sector 43,5.75,1935.0,4.0,4.0,2.0,Low Floor,old property,unfurnished,mid,0.0,1.0,1.0,1.0,0.0
flats,sector 2,1.51,1919.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 102,1.42,1368.0,2.0,2.0,3.0,High Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 71,1.1,1802.0,3.0,4.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 111,0.7,696.0,2.0,2.0,2.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 89,1.28,1450.0,3.0,3.0,2.0,Mid Floor,under construction,unfurnished,high,1.0,0.0,0.0,0.0,0.0
houses,sector 7,8.0,3600.0,4.0,5.0,3.0,Low Floor,old property,semifurnished,mid,1.0,1.0,0.0,1.0,0.0
flats,sector 33,1.5,1550.0,3.0,3.0,3.0,Mid Floor,under construction,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
flats,sector 90,2.0,2727.0,4.0,4.0,3.0,High Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,1.0
flats,sector 89,1.55,1550.0,3.0,2.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,0.0,1.0,0.0,0.0
flats,sector 33,1.7,1789.0,3.0,3.0,3.0,High Floor,under construction,semifurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 86,0.5,520.0,2.0,2.0,1.0,Mid Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 50,11.95,3240.0,3.0,3.0,2.0,Low Floor,relative new,semifurnished,mid,1.0,1.0,0.0,0.0,0.0
flats,sector 102,2.5,3198.0,4.0,5.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 106,0.88,1385.0,2.0,2.0,3.0,Low Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 67,0.95,872.0,1.0,1.0,1.0,High Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 2,0.6,735.0,1.0,1.0,1.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 12,0.65,1050.0,3.0,3.0,1.0,Low Floor,new property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 54,2.0,646.0,9.0,9.0,3.0,High Floor,relative new,fullyfurnished,low,0.0,1.0,0.0,0.0,0.0
flats,sector 77,0.75,1342.0,2.0,2.0,2.0,Mid Floor,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 99a,1.23,1997.0,3.0,5.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
